"","date","open","high","low","close","volume"
1,2016-03-03,137.22,137.96,136.07,137.8,5156429
2,2016-03-02,133.7,137.44,133.22,136.3,5168887
3,2016-03-01,132.24,134.64,132.03,134.37,3786328
4,2016-02-29,132,133.36,130.9,131.03,4376341
5,2016-02-26,134.51,134.92,131.95,132.03,4383322
6,2016-02-25,133.29,134.51,130.88,134.5,4354669
7,2016-02-24,131.55,133.49,129.68,132.8,4087400
8,2016-02-23,133.14,133.41,132.01,132.4,3372962
9,2016-02-22,133.84,134.31,132.41,133.77,4441519
10,2016-02-19,132.36,133.65,130.84,133.08,5117316
11,2016-02-18,130,134,129.75,132.45,9925974
12,2016-02-17,123.71,126.57,123.25,126.1,4814894
13,2016-02-16,121.83,123.09,121.34,122.74,4027818
14,2016-02-12,119.26,121.05,118.35,121.04,4921506
15,2016-02-11,118.78,119.66,116.9,117.85,7236058
16,2016-02-10,125,125.29,119.84,120.19,6436823
17,2016-02-09,126.12,126.93,123.77,124.07,5923690
18,2016-02-08,126,127.51,124.13,126.98,7255939
19,2016-02-05,127.22,128.64,125.85,128.57,7155806
20,2016-02-04,125.08,128.5,125,127.65,5240258
21,2016-02-03,123.99,125.45,122.45,124.72,6222759
22,2016-02-02,123.67,124.14,122.64,122.94,3279196
23,2016-02-01,124.4,125.29,123.71,124.83,3570810
24,2016-01-29,123.28,124.79,122.96,124.79,8208826
25,2016-01-28,121.26,122.83,121.01,122.22,3942349
26,2016-01-27,122.73,123.37,120.65,120.96,4999341
27,2016-01-26,122.25,123.61,122.24,122.59,4613756
28,2016-01-25,122.1,124.23,121.64,122.08,5427835
29,2016-01-22,124.67,124.74,121.77,122.5,9237033
30,2016-01-21,121.3,125.1,120.58,122.91,8845201
31,2016-01-20,118.46,123.99,118,121.86,16133787
32,2016-01-19,130.11,132.1,128.06,128.11,9703914
33,2016-01-15,130.01,130.88,128.87,130.03,8942710
34,2016-01-14,131.93,133.79,131.22,132.91,5708301
35,2016-01-13,133.5,134.28,131.1,131.17,4675089
36,2016-01-12,133.65,133.78,131.13,132.9,5078678
37,2016-01-11,131.81,133.82,131.76,133.23,4974436
38,2016-01-08,133.18,133.82,131.32,131.63,4762706
39,2016-01-07,133.7,135.02,132.43,132.86,7025760
40,2016-01-06,134.38,135.58,133.62,135.17,4310939
41,2016-01-05,136.76,136.89,134.85,135.85,3924793
42,2016-01-04,135.6,135.97,134.24,135.95,5208900
43,2015-12-31,139.07,139.1,137.57,137.62,3462077
44,2015-12-30,139.58,140.44,139.22,139.34,2989367
45,2015-12-29,138.25,140.06,138.2,139.78,3943691
46,2015-12-28,137.74,138.04,136.54,137.61,3143412
